"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/11/2023";"0000";"19,0";"19,2";"19,0";"94,0";"94,0";"94,0";"18,0";"18,2";"18,0";"917,8";"917,9";"917,3";"0,4";"300,0";"2,6";"";"0,0"
"01/11/2023";"0100";"19,1";"19,2";"18,9";"94,0";"94,0";"94,0";"18,1";"18,2";"18,0";"918,1";"918,2";"917,8";"0,3";"278,0";"1,8";"";"0,0"
"01/11/2023";"0200";"18,9";"19,3";"18,9";"94,0";"94,0";"94,0";"18,0";"18,3";"18,0";"918,1";"918,3";"918,1";"0,5";"299,0";"2,0";"";"0,0"
"01/11/2023";"0300";"18,7";"18,9";"18,7";"95,0";"95,0";"94,0";"17,8";"18,0";"17,8";"917,8";"918,1";"917,7";"0,0";"230,0";"1,9";"";"0,0"
"01/11/2023";"0400";"18,6";"18,7";"18,5";"95,0";"95,0";"95,0";"17,7";"17,8";"17,7";"917,0";"917,8";"917,0";"0,0";"324,0";"0,9";"";"0,0"
"01/11/2023";"0500";"18,5";"18,6";"18,5";"95,0";"95,0";"95,0";"17,7";"17,8";"17,7";"916,6";"917,1";"916,6";"0,4";"267,0";"1,4";"";"0,0"
"01/11/2023";"0600";"18,5";"18,6";"18,4";"95,0";"95,0";"95,0";"17,8";"17,8";"17,7";"916,6";"916,7";"916,6";"0,0";"223,0";"1,4";"";"0,0"
"01/11/2023";"0700";"18,7";"18,8";"18,5";"95,0";"95,0";"95,0";"18,0";"18,0";"17,8";"917,0";"917,0";"916,5";"0,0";"45,0";"1,0";"";"0,0"
"01/11/2023";"0800";"18,4";"18,7";"18,3";"95,0";"95,0";"95,0";"17,7";"18,0";"17,6";"917,4";"917,4";"916,9";"0,0";"230,0";"0,8";"";"0,0"
"01/11/2023";"0900";"18,7";"18,7";"18,4";"96,0";"96,0";"95,0";"17,9";"18,0";"17,6";"918,2";"918,2";"917,4";"0,0";"121,0";"1,1";"47,70";"0,0"
"01/11/2023";"1000";"18,5";"18,9";"18,5";"96,0";"96,0";"95,0";"17,8";"18,2";"17,8";"918,9";"918,9";"918,2";"1,1";"125,0";"2,5";"254,90";"0,0"
"01/11/2023";"1100";"19,8";"19,8";"18,5";"95,0";"96,0";"95,0";"18,9";"18,9";"17,9";"919,2";"919,2";"918,9";"1,3";"132,0";"3,7";"705,20";"0,0"
"01/11/2023";"1200";"21,6";"22,2";"19,5";"80,0";"95,0";"79,0";"18,1";"19,7";"17,8";"919,1";"919,3";"919,0";"1,4";"175,0";"4,1";"1913,90";"0,0"
"01/11/2023";"1300";"24,1";"24,1";"21,7";"75,0";"83,0";"73,0";"19,4";"19,4";"17,9";"919,1";"919,3";"919,0";"1,3";"143,0";"4,1";"2391,90";"0,0"
"01/11/2023";"1400";"24,2";"25,4";"23,3";"69,0";"75,0";"67,0";"18,1";"19,7";"17,7";"918,5";"919,1";"918,5";"1,4";"319,0";"3,8";"2716,20";"0,0"
"01/11/2023";"1500";"24,6";"25,2";"24,0";"69,0";"71,0";"66,0";"18,4";"19,2";"17,8";"918,1";"918,5";"918,1";"1,0";"217,0";"3,2";"1239,80";"0,0"
"01/11/2023";"1600";"25,2";"26,4";"24,5";"65,0";"70,0";"62,0";"18,2";"19,5";"17,5";"917,4";"918,1";"917,4";"0,4";"124,0";"3,2";"1989,30";"0,0"
"01/11/2023";"1700";"25,7";"27,0";"25,0";"61,0";"67,0";"59,0";"17,7";"19,3";"17,4";"916,6";"917,4";"916,6";"0,7";"153,0";"2,3";"1496,80";"0,0"
"01/11/2023";"1800";"26,5";"27,4";"25,7";"58,0";"64,0";"57,0";"17,5";"19,2";"17,4";"915,7";"916,6";"915,6";"2,0";"118,0";"4,5";"2204,90";"0,0"
"01/11/2023";"1900";"26,1";"27,5";"26,0";"57,0";"59,0";"51,0";"16,8";"17,9";"16,5";"915,5";"915,7";"915,4";"2,5";"133,0";"5,3";"1596,10";"0,0"
"01/11/2023";"2000";"25,9";"26,8";"25,9";"61,0";"61,0";"55,0";"17,9";"17,9";"16,8";"915,6";"915,6";"915,4";"1,7";"123,0";"5,4";"1060,70";"0,0"
"01/11/2023";"2100";"24,4";"25,9";"24,4";"70,0";"70,0";"61,0";"18,6";"18,7";"17,9";"916,6";"916,6";"915,5";"2,6";"162,0";"6,0";"267,40";"0,0"
