Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/11/2023;0000;20,7;20,7;20,4;94;95;94;19,8;19,8;19,4;924,2;924,3;923,8;1,3;166;2,2;;0
01/11/2023;0100;20,5;20,8;20,5;93;94;92;19,3;19,8;19,3;924,7;924,8;924,2;2;159;4,1;;0
01/11/2023;0200;19,6;20,5;19,6;93;95;93;18,5;19,3;18,5;924,6;924,9;924,6;2,1;154;4,7;0,3;0
01/11/2023;0300;19,4;19,8;19,4;93;94;93;18,3;18,7;18,3;924,6;924,6;924,4;1,7;167;4,7;;0
01/11/2023;0400;19,4;19,5;19,3;94;94;93;18,4;18,5;18,3;924,1;924,6;924,1;1,3;142;3,8;;0
01/11/2023;0500;19,4;19,4;19,3;94;94;94;18,4;18,5;18,3;923,7;924,1;923,7;1,4;152;2,9;;0
01/11/2023;0600;18,9;19,4;18,9;94;95;94;18;18,5;18;923,7;923,9;923,7;1,8;165;4,8;;0,6
01/11/2023;0700;18,4;19;18,4;94;95;94;17,4;18,1;17,4;924,2;924,2;923,7;2;168;5,5;;0,4
01/11/2023;0800;17,9;18,5;17,9;93;94;93;16,7;17,5;16,7;924,7;924,7;924,2;2,6;179;6,8;;0
01/11/2023;0900;17,6;18;17,5;95;95;93;16,7;16,9;16,6;925,3;925,3;924,7;2,2;159;6,8;9,4;0,4
01/11/2023;1000;17,6;17,7;17,5;94;95;94;16,6;17;16,5;926;926;925,3;2,2;152;4;148,4;0,4
01/11/2023;1100;18,4;18,6;17,5;90;94;90;16,7;17,3;16,5;926,4;926,4;926;2;153;4,5;543,1;0
01/11/2023;1200;19,1;19,3;18,3;87;92;86;16,9;17,6;16,6;926,8;926,8;926,3;3,4;162;6,5;873,7;0
01/11/2023;1300;20,6;20,6;19,1;82;87;80;17,4;17,8;16,7;926,8;926,8;926,6;2,7;154;6,5;1398,6;0
01/11/2023;1400;20,4;21,1;20,1;84;85;80;17,5;17,9;16,9;926,5;926,8;926,5;2,7;147;5,9;1215,7;0
01/11/2023;1500;20,8;21,2;19,7;83;91;81;17,9;18,8;17,5;926,8;926,9;926,5;2,5;153;6,5;1689,6;0
01/11/2023;1600;20,8;21,8;20;80;84;76;17,3;18,2;16,7;926,2;926,9;926,2;3,2;149;7,6;1806,7;0
01/11/2023;1700;19,9;21,4;19,3;82;86;79;16,6;18,1;16,6;926,2;926,4;926,1;3,6;148;9,5;1358,7;0
01/11/2023;1800;18,9;20,1;18,5;87;89;81;16,7;17,2;16,3;925,8;926,2;925,8;3,8;157;8,1;1290,9;0
01/11/2023;1900;18,6;19,8;18,6;87;87;80;16,4;16,8;15,9;925,7;925,8;925,5;3,5;133;7,4;1026,1;0
01/11/2023;2000;17,9;18,9;17,9;87;91;84;15,7;16,9;15,7;925,7;925,7;925,5;3,2;141;7,3;549;0
01/11/2023;2100;16,9;17,9;16,8;91;92;87;15,5;16;15,3;926,6;926,6;925,7;3,6;154;8,2;145,7;0
01/11/2023;2200;16,9;17;16,6;90;93;90;15,3;15,6;15,1;926,7;927;926,6;2,5;136;8,1;5,4;0
01/11/2023;2300;16,8;17;16,5;94;94;89;15,8;15,8;15,1;927,1;927,1;926,6;2,2;138;6,1;;0
02/11/2023;0000;;;;;;;;;;;;;;;;;
02/11/2023;0100;;;;;;;;;;;;;;;;;
02/11/2023;0200;16,6;16,8;16,6;94;96;94;15,7;16,2;15,7;927,4;927,7;927,2;2,3;122;5,4;;0,6
02/11/2023;0300;16,5;16,8;16,5;94;95;94;15,6;16;15,6;927,3;927,4;927;2,4;131;5,4;;0
02/11/2023;0400;16,6;16,7;16,4;95;95;94;15,7;15,8;15,5;926,6;927,3;926,6;2,2;135;6;;0
02/11/2023;0500;16,6;16,7;16,4;95;95;95;15,7;15,9;15,5;925,6;926,7;925,6;2,4;130;5,1;;0
02/11/2023;0600;16,3;16,6;16,3;95;95;95;15,5;15,8;15,4;925,6;925,8;925,5;2,6;130;5,7;;0
02/11/2023;0700;16,1;16,4;16;96;96;95;15,5;15,8;15,4;925,4;925,8;925,4;2,1;143;5,8;;0,8
02/11/2023;0800;16,3;16,3;16;96;96;96;15,6;15,6;15,4;925,6;925,8;925,4;2;124;5,2;;0
02/11/2023;0900;16,2;16,4;16;96;96;95;15,6;15,7;15,3;926,3;926,3;925,6;1,9;138;4,8;16,5;0,2
02/11/2023;1000;16,6;16,8;16,2;94;96;94;15,7;15,9;15,4;927;927;926,3;2;117;4,5;251,5;0
02/11/2023;1100;17,4;17,8;16,6;89;95;89;15,6;16,3;15,5;927,1;927,2;927;2,6;124;5,8;732,4;0
02/11/2023;1200;17,9;18,2;17,3;88;91;86;15,9;16,2;15,3;927,7;927,8;927,2;2,5;129;5,8;685,3;0
02/11/2023;1300;18,2;18,6;17,6;88;90;86;16,2;16,7;15,6;927,5;927,8;927,5;2,8;135;5,8;951,5;0
02/11/2023;1400;20;20;17,8;86;91;84;17,5;17,5;15,9;926,7;927,5;926,7;3,1;119;5,9;1540;0
02/11/2023;1500;19,4;20,1;18,9;83;86;81;16,5;16,9;15,9;926,3;926,8;926,3;3,2;141;6,3;1779,5;0
02/11/2023;1600;19;19,4;18,2;88;89;82;16,9;16,9;16,1;925,9;926,4;925,9;3;125;6,7;937,8;0
02/11/2023;1700;19,8;20;18,9;81;88;81;16,4;17,1;16;925;925,9;925;2,9;131;6,1;1360,2;0
02/11/2023;1800;19,3;20,1;18,7;86;88;81;16,8;17,5;16,2;924,3;925;924,2;3,1;120;6,5;1372,6;0
02/11/2023;1900;18,2;19,3;18,2;91;91;84;16,6;16,8;16,2;923,9;924,3;923,9;3,2;131;6,5;649,6;0
02/11/2023;2000;17,8;18,3;17,6;94;94;90;16,8;16,8;16,4;924,4;924,5;923,9;2,7;144;6,1;233,8;0
02/11/2023;2100;17,6;17,8;17,5;94;94;93;16,6;16,8;16,4;924,4;924,6;924,4;2,5;120;6,2;80,5;0
02/11/2023;2200;17,7;17,8;17,5;93;95;93;16,5;16,8;16,4;924,2;924,4;924;2,2;119;5;5,7;0
02/11/2023;2300;17,6;17,8;17,6;92;94;92;16,3;16,7;16,3;924,3;924,5;924,1;2,2;120;5;;0
03/11/2023;0000;17,6;17,8;17,5;92;93;92;16,4;16,6;16,2;924,8;924,8;924,1;1,7;136;5;;0
03/11/2023;0100;17,5;17,7;17,4;94;94;92;16,5;16,5;16,4;925,3;925,5;924,8;1,1;125;3,4;;0
03/11/2023;0200;17,4;17,7;17,4;94;94;93;16,4;16,7;16,4;924,7;925,3;924,7;1,7;113;3,2;;0
03/11/2023;0300;16,9;17,4;16,9;95;95;94;16,1;16,4;16,1;924,1;924,8;924,1;0,4;127;2,9;;0
03/11/2023;0400;17,2;17,2;16,7;96;96;95;16,5;16,5;16;923,5;924,3;923,5;0,8;19;1,5;;0
03/11/2023;0500;18;18;17,1;93;96;93;16,8;16,8;16,5;922,8;923,6;922,8;1,3;338;3,9;;0
03/11/2023;0600;18,2;18,4;18;93;93;92;17,1;17,2;16,8;922,1;922,8;922,1;1,1;13;4,9;;0
03/11/2023;0700;18,3;18,4;18,2;93;93;93;17,2;17,3;17,1;921,5;922,1;921,5;1,4;360;4,3;;0
03/11/2023;0800;18,4;18,5;18,3;94;94;93;17,4;17,4;17,2;921,4;921,5;921,4;1,2;357;5,1;;0
03/11/2023;0900;18,3;18,5;18;95;95;94;17,5;17,5;17,2;921,4;921,6;921,3;1,1;345;3,3;46,8;0
03/11/2023;1000;20,4;20,5;18,3;88;95;88;18,3;18,6;17,5;922,1;922,1;921,4;1,8;332;3,7;537,9;0
03/11/2023;1100;22,3;22,4;20,3;82;88;81;19,1;19,5;18,1;921,9;922,1;921,9;1,7;337;4,1;1041,9;0
03/11/2023;1200;25,1;25,1;22,3;72;83;71;19,7;20;19;921,5;921,9;921,4;2,8;339;7,1;1414;0
03/11/2023;1300;27,8;27,8;25,1;65;73;63;20,5;20,6;19,6;920,9;921,5;920,9;4,1;329;12,7;2315,7;0
03/11/2023;1400;28,7;29;27,5;60;65;58;20,1;20,9;19,7;920,3;920,9;920,2;4,4;329;15,5;2515,8;0
03/11/2023;1500;29,8;30,1;28,4;56;62;55;20;21;19,5;919,7;920,3;919,7;5,6;324;14,1;2221,5;0
03/11/2023;1600;31,8;31,8;29,7;54;58;52;21,3;21,3;19,6;919,3;919,7;919,3;4,1;333;11,4;2806,7;0
03/11/2023;1700;24;31,8;24;72;73;50;18,6;21;17,8;918,9;919,3;918,8;1,9;79;12,3;1654,3;0
03/11/2023;1800;29,8;31,2;24;59;76;54;20,8;22,1;18,7;917,1;918,8;917,1;3;335;7,9;1820,9;0
03/11/2023;1900;27,4;29,8;27,4;68;69;58;21,1;21,4;20,6;918,6;918,8;916,8;2,1;328;9,3;435,3;0
03/11/2023;2000;19,5;28;18,4;93;95;61;18,3;21,1;17,1;920,3;922;918,6;1,7;242;16,6;15,8;9,6
03/11/2023;2100;19,6;19,7;19,5;96;96;93;18,9;19;18,4;919,7;920,4;919,7;1;14;5,7;9,2;3
03/11/2023;2200;20,1;20,1;19,6;95;96;95;19,3;19,4;18,9;919,8;919,8;919,6;1,3;352;4,1;12,1;0
03/11/2023;2300;20,6;20,6;20,1;94;96;93;19,5;19,5;19,3;919,8;920;919,6;1,4;1;4,9;;0
04/11/2023;0000;20,4;20,6;20,2;94;95;93;19,5;19,6;19,3;920,4;920,4;919,8;2,3;331;6;;0
04/11/2023;0100;20,5;20,6;20,4;92;94;92;19,3;19,5;19,2;921,3;921,3;920,4;2;315;7,6;;0
04/11/2023;0200;20,2;20,5;20;95;95;92;19,3;19,3;19,1;921;921,3;921;1;282;5,2;;0
04/11/2023;0300;21;21;20,2;91;95;91;19,5;19,5;19,1;921,3;921,3;921;1,5;312;5,5;;0
04/11/2023;0400;20,6;21,1;20,6;92;93;90;19,4;19,6;19,4;920,6;921,3;920,4;2;322;6,6;;0,6
04/11/2023;0500;20,1;20,7;20;95;95;92;19,2;19,4;19;920,5;920,7;920,2;0,3;190;5,3;;0
04/11/2023;0600;20,4;20,5;20,1;96;96;95;19,7;19,8;19,3;920,6;920,6;920,4;0,3;174;1,9;;0,4
04/11/2023;0700;20,4;20,5;20,3;96;96;96;19,7;19,8;19,6;920,8;920,8;920,6;0,4;264;3,1;;0,2
04/11/2023;0800;18,9;20,4;18,9;91;96;91;17,4;19,8;17,4;921,5;921,5;920,8;1,7;213;5,5;0,8;0
04/11/2023;0900;18,6;18,9;18,5;91;91;90;17,1;17,4;16,8;922,3;922,3;921,5;0,8;237;4,6;22,5;0
04/11/2023;1000;18,7;18,9;18,4;87;91;85;16,5;17,4;15,8;922,7;922,7;922,3;0,9;228;2,7;173;0
04/11/2023;1100;20,3;20,6;18,6;75;88;74;15,7;16,9;15,1;922,7;922,9;922,6;0,9;246;3;896,1;0,2
04/11/2023;1200;23,2;23,3;20,3;64;79;62;16,1;17,2;15,2;923;923;922,7;1,4;276;3,1;2140,1;0
04/11/2023;1300;24,5;24,6;22,4;55;68;54;14,9;17;14,4;922,9;923,1;922,8;1,8;285;6,2;2681,1;0
04/11/2023;1400;25;25,5;23,9;52;56;49;14,3;15,8;13,3;922,7;922,9;922,7;3,1;292;8,2;3336,1;0
04/11/2023;1500;26,4;26,4;24,9;48;55;47;14,6;15,8;13,3;922,4;922,7;922,3;4,4;318;12;3521,8;0
04/11/2023;1600;26,5;26,9;25,5;38;50;38;11,1;15,2;10,9;922,3;922,5;922,2;5;304;10,8;3607,9;0
04/11/2023;1700;27,4;27,5;26;33;44;33;9,9;13;8,9;921,9;922,3;921,9;2,9;287;10,3;3384,5;0
04/11/2023;1800;27,4;27,6;26,7;26;36;23;6,2;10,9;4,3;921,6;921,9;921,6;2,9;291;10;2881,3;0
04/11/2023;1900;26,9;28;26,8;22;30;19;3,1;8,5;1,6;921,3;921,7;921,3;2,8;288;9,7;2315,5;0
04/11/2023;2000;25,9;27,6;25,9;25;27;21;4,1;6,3;2,1;921,7;921,7;921,2;2,6;292;9,4;1227;0
04/11/2023;2100;24,6;25,9;24,5;32;32;24;6,8;6,9;3,6;922,3;922,4;921,7;2,4;292;7,5;162,3;0
